SC3.UTCGregorian           SC3.SC3VNB.X              SC3.SC3VNB.Y              SC3.SC3VNB.Z              SC3.SC3VNB.VX             SC3.SC3VNB.VY             SC3.SC3VNB.VZ             
03 Jan 2028 04:59:20.451   40.63152286917997         0                         482.0810258485481         0.1237431812869221        -8.673617379884035e-19    3.469446951953614e-18     
03 Jan 2028 05:02:24.000   40.99418988364363         -2.842170943040401e-14    483.9652389849397         0.1230932217762395        1.734723475976807e-18     0                         
03 Jan 2028 05:05:28.202   41.1540544554172          0                         485.8680159199491         0.1224485747400724        -1.951563910473908e-18    -4.336808689942018e-19    
03 Jan 2028 05:08:41.924   41.10241626158422         -2.842170943040401e-14    487.8716433059229         0.1217820053316423        -2.168404344971009e-19    -2.168404344971009e-19    
03 Jan 2028 05:12:24.171   40.76823397220213         -2.842170943040401e-14    490.1596486437827         0.1210356484919693        -3.035766082959412e-18    -1.734723475976807e-18    
03 Jan 2028 05:16:47.894   39.99705959942397         -2.842170943040401e-14    492.8384934332299         0.1201812034705095        0                         0                         
03 Jan 2028 05:16:48.000   39.99666943869984         0                         492.8395584186846         0.1201808678658899        0                         1.734723475976807e-18     
03 Jan 2028 05:16:48.305   39.99554623625269         0                         492.8426232067592         0.1201799020755573        8.673617379884035e-19     0                         
03 Jan 2028 05:16:49.099   39.99261964958286         0                         492.8506012650571         0.1201773880943495        8.673617379884035e-19     -1.734723475976807e-18    
03 Jan 2028 05:16:51.250   39.9846687044941          2.842170943040401e-14     492.872223979363          0.120170575430512         -1.734723475976807e-18    0                         
03 Jan 2028 05:16:56.140   39.96649965410829         -2.842170943040401e-14    492.9213527698578         0.1201551013355353        -8.673617379884035e-19    -1.734723475976807e-18    
03 Jan 2028 05:17:04.443   39.93533654397896         -2.842170943040401e-14    493.0047239042557         0.1201288575654149        1.734723475976807e-18     1.734723475976807e-18     
03 Jan 2028 05:17:17.518   39.88547053905901         0                         493.1358746322236         0.1200876133022329        0                         1.734723475976807e-18     
03 Jan 2028 05:17:36.849   39.80997067149824         0                         493.3294702734228         0.1200268199868706        0                         0                         
03 Jan 2028 05:18:02.217   39.70768593672467         2.842170943040401e-14     493.5829615064595         0.1199473775567376        0                         0                         
03 Jan 2028 05:18:38.077   39.55691248000043         0                         493.9401580111958         0.1198357406762556        0                         0                         
03 Jan 2028 05:19:22.926   39.35820209778683         2.842170943040401e-14     494.3849244277155         0.1196972340200273        -1.734723475976807e-18    0                         
03 Jan 2028 05:20:25.929   39.0601462100623          0                         495.0058154682838         0.1195048014779318        0                         -3.469446951953614e-18    
03 Jan 2028 05:21:39.689   38.68340033655126         0                         495.7264727938698         0.1192827894185741        0                         6.938893903907228e-18     
03 Jan 2028 05:23:02.533   38.22493360919181         -2.842170943040401e-14    496.5272112807914         0.119037788741608         1.734723475976807e-18     3.469446951953614e-18     
03 Jan 2028 05:24:44.760   37.60848685588415         0                         497.5015466320489         0.1187420503631775        -3.469446951953614e-18    0                         
03 Jan 2028 05:26:32.317   36.90055731854297         0                         498.5088233103788         0.1184390481218744        -1.734723475976807e-18    -6.938893903907228e-18    
03 Jan 2028 05:28:30.581   36.05354824208057         0                         499.5933146103933         0.1181159220158483        -1.734723475976807e-18    0                         
03 Jan 2028 05:31:12.000   34.78493976697931         -2.842170943040401e-14    501.0308813211014         0.1176925641088302        3.469446951953614e-18     -6.938893903907228e-18    
03 Jan 2028 05:34:07.392   33.26501235942425         -2.842170943040401e-14    502.5315643311948         0.1172567025822536        0                         0                         
03 Jan 2028 05:37:15.752   31.47682590906498         2.842170943040401e-14     504.0650334610916         0.1168178425990557        0                         -6.938893903907228e-18    
03 Jan 2028 05:40:41.752   29.34774898471312         2.842170943040401e-14     505.6408577797342         0.1163739378341001        0                         0                         
03 Jan 2028 05:44:04.801   27.0848725959361          5.684341886080801e-14     507.0820210215514         0.1159745567984918        -6.938893903907228e-18    -6.938893903907228e-18    
03 Jan 2028 05:45:36.000   26.01911884204839         0                         507.6909397688879         0.1158078142759707        -3.469446951953614e-18    0                         
03 Jan 2028 05:47:25.414   24.70265387509116         2.842170943040401e-14     508.3887472118464         0.1156182865620934        0                         0                         
03 Jan 2028 05:49:35.302   23.0892785114344          2.842170943040401e-14     509.1693373032517         0.1154083705826392        -3.469446951953614e-18    6.938893903907228e-18     
03 Jan 2028 05:52:23.350   20.92658764067312         2.842170943040401e-14     510.0996014825809         0.1151613856632815        0                         -1.387778780781446e-17    
03 Jan 2028 05:55:36.425   18.34752044384584         2.842170943040401e-14     511.0533709021806         0.114912332136881         -3.469446951953614e-18    6.938893903907228e-18     
03 Jan 2028 05:58:54.772   15.60677194931114         2.842170943040401e-14     511.9004819465639         0.1146955862624501        0                         6.938893903907228e-18     
03 Jan 2028 06:00:00.000   14.68777167639718         0                         512.1489406863635         0.1146330316216335        6.938893903907228e-18     6.938893903907228e-18     
03 Jan 2028 06:01:15.798   13.61004087072914         5.684341886080801e-14     512.4186328755036         0.114565787038936         0                         -6.938893903907228e-18    
03 Jan 2028 06:02:38.057   12.42945415735414         0                         512.6879574202311         0.1144994484877208        0                         6.938893903907228e-18     
03 Jan 2028 06:04:07.009   11.14118716426381         2.842170943040401e-14     512.9515803346227         0.1144355020949188        0                         0                         
03 Jan 2028 06:06:09.221   9.353999569822349         -1.4210854715202e-14      513.2665343119414         0.1143608620272157        0                         0                         
03 Jan 2028 06:08:14.766   7.500779969136886         -4.263256414560601e-14    513.5326044866031         0.1143001272405711        0                         0                         
03 Jan 2028 06:10:25.245   5.560352003568198         0                         513.7468850111841         0.1142541202851098        -6.938893903907228e-18    6.938893903907228e-18     
03 Jan 2028 06:12:57.102   3.289304720284122         -2.842170943040401e-14    513.9158611610097         0.1142225042403181        0                         0                         
03 Jan 2028 06:14:24.000   1.986112660272624         -2.842170943040401e-14    513.9734917136138         0.1142149966295573        -6.938893903907228e-18    0                         
03 Jan 2028 06:16:07.828   0.4277751395197527        0                         514.0049981721133         0.11421609514027          0                         6.938893903907228e-18     
03 Jan 2028 06:18:18.536   -1.532712008046303        -1.4210854715202e-14      513.9868349503602         0.1142330034310491        6.938893903907228e-18     -6.938893903907228e-18    
03 Jan 2028 06:21:16.432   -4.191399083969998        0                         513.8587799741711         0.1142836463962413        6.938893903907228e-18     0                         
03 Jan 2028 06:24:34.119   -7.121045227809077        0                         513.5775489801349         0.1143769444112114        -6.938893903907228e-18    -6.938893903907228e-18    
03 Jan 2028 06:28:13.577   -10.3258551202276         0                         513.096011454635          0.1145255568921956        0                         -6.938893903907228e-18    
