MotherShip.UTCGregorian   MotherShip.motherVNB.X    MotherShip.motherVNB.Y    MotherShip.motherVNB.Z    MotherShip.motherVNB.VX   MotherShip.motherVNB.VY   MotherShip.motherVNB.VZ   
01 Jan 2028 08:38:24.000   -245.980004043176         4.547473508864641e-13     48145.00079641978         2.612797528211652         -5.551115123125783e-17    -3.469446951953614e-18    
01 Jan 2028 08:52:48.000   -187.0898277764842        0                         48135.11058059061         2.611873967223225         0                         -9.194034422677078e-17    
01 Jan 2028 09:07:12.000   -127.5576064148245        0                         48127.92792393683         2.610980142885631         0                         7.112366251504909e-17     
01 Jan 2028 09:21:36.000   -67.50457493515611        0                         48123.47675659751         2.610118498556425         0                         6.938893903907228e-18     
01 Jan 2028 09:36:00.000   -7.053051749776415        4.547473508864641e-13     48121.77550063669         2.609291383436181         -5.551115123125783e-17    1.561251128379126e-17     
01 Jan 2028 09:50:24.000   53.67380485888955         0                         48122.83705709947         2.608501046236165         0                         -7.28583859910259e-17     
01 Jan 2028 10:04:48.000   114.552185438301          2.273736754432321e-13     48126.66878176222         2.607749628660031         -5.551115123125783e-17    -2.289834988289385e-16    
01 Jan 2028 10:19:12.000   175.4578754020245         -4.547473508864641e-13    48133.27250893075         2.607039163671762         0                         -8.673617379884035e-19    
01 Jan 2028 10:33:36.000   236.266454516501          -4.547473508864641e-13    48142.64452328396         2.606371573637294         5.551115123125783e-17     2.038300084272748e-16     
01 Jan 2028 10:48:00.000   296.8535921791702         0                         48154.77560161149         2.605748677253158         -5.551115123125783e-17    -2.315855840429037e-16    
01 Jan 2028 11:02:24.000   357.0953606639017         0                         48169.65102633494         2.60517220095076          0                         -1.209969624493823e-16    
01 Jan 2028 11:16:48.000   416.8687176892669         0                         48187.25063917499         2.604643800907942         0                         1.13841228110978e-16      
01 Jan 2028 11:31:12.000   476.0521245938016         3.979039320256561e-13     48207.54888977332         2.604165095219844         0                         1.668045042368949e-16     
01 Jan 2028 11:45:36.000   534.5264913193304         5.115907697472721e-13     48230.51494332623         2.603737711301909         0                         -4.85722573273506e-17     
01 Jan 2028 12:00:00.000   592.1760834511322         -4.547473508864641e-13    48256.11279695298         2.603363240240569         5.551115123125783e-17     2.328866266498864e-16     
01 Jan 2028 12:14:24.000   648.8765648164913         -1.13686837721616e-13     48284.30137653902         2.603041747380408         0                         -2.602085213965211e-18    
01 Jan 2028 12:28:48.000   704.5124218265602         0                         48315.03419282856         2.602775080071805         -5.551115123125783e-17    1.127570259384925e-17     
01 Jan 2028 12:43:12.000   758.9715556742012         0                         48348.25984050872         2.602564019408129         0                         1.301042606982605e-17     
01 Jan 2028 12:57:36.000   812.1433100204785         2.273736754432321e-13     48383.92206088681         2.60240928956327          -5.551115123125783e-17    -8.673617379884035e-17    
01 Jan 2028 13:12:00.000   863.9191091722687         0                         48421.95984003608         2.602311537575481         -5.551115123125783e-17    5.204170427930421e-17     
01 Jan 2028 13:26:24.000   914.1929141714659         9.094947017729282e-13     48462.30749975052         2.602271318004345         -5.551115123125783e-17    -4.85722573273506e-17     
01 Jan 2028 13:40:48.000   962.8616157032166         0                         48504.89481213855         2.602289080757369         0                         5.030698080332741e-17     
01 Jan 2028 13:55:12.000   1009.825314452682         4.547473508864641e-13     48549.64712345762         2.602365163630009         0                         7.632783294297951e-17     
01 Jan 2028 14:09:36.000   1054.987588230214         -4.547473508864641e-13    48596.48551807248         2.602499787887789         0                         8.500145032286355e-17     
01 Jan 2028 14:24:00.000   1098.25567715998          0                         48645.32693924825         2.602693055170676         -2.775557561562891e-17    -1.092875789865388e-16    
01 Jan 2028 14:38:24.000   1139.540688335583         0                         48696.08437701078         2.602944947502073         0                         -3.122502256758253e-17    
01 Jan 2028 14:52:48.000   1178.7577417016           9.094947017729282e-13     48748.66700357011         2.603255327388264         2.775557561562891e-17     -8.673617379884035e-17    
01 Jan 2028 15:07:12.000   1215.826142076309         0                         48802.98037326424         2.603623940173546         2.775557561562891e-17     -5.551115123125783e-17    
01 Jan 2028 15:21:36.000   1250.669509390904         0                         48858.9265676744          2.604050415779903         2.775557561562891e-17     1.734723475976807e-17     
01 Jan 2028 15:36:00.000   1283.215935034932         0                         48916.40441075823         2.604534272131163         0                         -2.081668171172169e-17    
01 Jan 2028 15:50:24.000   1313.398102224233         -9.094947017729282e-13    48975.30962080072         2.605074917520141         -5.551115123125783e-17    3.469446951953614e-18     
01 Jan 2028 16:04:48.000   1341.153431309179         0                         49035.53504084674         2.605671654327093         -5.551115123125783e-17    0                         
