SC8.UTCGregorian           SC8.EnceladusICRF.X       SC8.EnceladusICRF.Y       SC8.EnceladusICRF.Z       SC8.EnceladusICRF.VX      SC8.EnceladusICRF.VY      SC8.EnceladusICRF.VZ      
03 Jan 2028 23:23:47.926   281.196385383606          -50.85697799921036        -404.2046486139297        -0.05129426870106712      0.08998016422764943       -0.06320995132736762      
03 Jan 2028 23:26:27.840   272.80526471138           -36.44205594062805        -413.9916289448738        -0.05363375881945842      0.09027982877751173       -0.05918522768240475      
03 Jan 2028 23:29:21.968   263.252804517746          -20.70465570688248        -423.9123755693436        -0.05606320751466498      0.09044969458415442       -0.05475474457630103      
03 Jan 2028 23:31:12.000   257.0026488304138         -10.75034868717194        -429.7820672690868        -0.05753483517403879      0.09047473302605269       -0.05193345121128612      
03 Jan 2028 23:33:21.389   249.4496512413025         0.9537569284439087        -436.286093890667         -0.05920242286381239      0.09042432142567369       -0.04859797821515777      
03 Jan 2028 23:35:39.721   241.1410284042358         13.45326733589172         -442.7610883116722        -0.06091018642065649      0.09027682099915846       -0.04501435860422109      
03 Jan 2028 23:38:03.340   232.270761013031          26.40170550346375         -448.9578887224197        -0.06260140978474027      0.09002355981776922       -0.04127876163513466      
03 Jan 2028 23:40:27.188   223.1488475799561         39.32713335752487         -454.6259392797947        -0.06421223117287411      0.08966998868673892       -0.03752604071710142      
03 Jan 2028 23:43:28.737   211.315292596817          55.55589830875397         -461.0080790221691        -0.06612736894715709      0.08908465795089571       -0.03277995449713789      
03 Jan 2028 23:45:36.000   202.8186056613922         66.86196678876877         -464.9678737521172        -0.06739204160558998      0.08858412129728888       -0.02945024899313076      
03 Jan 2028 23:48:30.239   190.9326908588409         82.22878873348236         -469.7021424770355        -0.06902052819864579      0.08778140192019657       -0.02489262323994268      
03 Jan 2028 23:51:32.644   178.1970655918121         98.15319341421127         -473.8080305755138        -0.07059906701286423      0.08679949420967592       -0.02012850325383919      
03 Jan 2028 23:55:15.521   162.2630434036255         117.3476514220238         -477.6471026241779        -0.07235474445756296      0.08540928782377533       -0.01432591221304325      
03 Jan 2028 23:58:49.361   146.6263446807861         135.4519358873367         -480.1177309751511        -0.07386276756124843      0.08388497228983516       -0.008786541147129512     
04 Jan 2028 00:00:00.000   141.3924081325531         141.3583709597588         -480.6740108728409        -0.0743233732134172       0.08334153317646886       -0.006964167010240274     
04 Jan 2028 00:01:36.608   134.1829290390015         149.3726842403412         -481.2266773283482        -0.07492338098769125      0.08256683829227751       -0.004478635935423192     
04 Jan 2028 00:03:42.951   124.6699359416962         159.7376901507378         -481.5878348350525        -0.07565621300888026      0.08149963006591743       -0.00124098169239506      
04 Jan 2028 00:05:57.773   114.4206824302673         170.6451600193977         -481.5232233405113        -0.07637388170261872      0.08029439336299737       0.002196272896312301      
04 Jan 2028 00:08:30.508   102.698634147644          182.7995413541794         -480.891908198595         -0.07710729941011607      0.07884779968890498       0.006066069788177586      
04 Jan 2028 00:11:14.680   89.98148322105408         195.6100277304649         -479.5566947758198        -0.07780211704517015      0.07719864632500562       0.01019443107706675       
04 Jan 2028 00:13:58.576   77.17971563339233         208.1211528778076         -477.5504896342754        -0.07839989931494884      0.07545689783395382       0.01428092144080484       
04 Jan 2028 00:14:24.000   75.18539524078369         210.036038517952          -477.1793921291828        -0.07848409292827085      0.07517830437484618       0.01491152720664424       
04 Jan 2028 00:14:55.763   72.6908917427063          212.4183435440063         -476.6932651102543        -0.07858606627205234      0.07482710813560201       0.01569806879759383       
04 Jan 2028 00:15:42.990   68.9760205745697          215.9397807717323         -475.9243207871914        -0.07873110174152842      0.07429849261023835       0.01686487953302507       
04 Jan 2028 00:16:37.458   64.68338322639465         219.9698312878609         -474.9691720604897        -0.07888860890325944      0.07367934100462681       0.0182065183095439        
04 Jan 2028 00:17:47.887   59.12061643600464         225.1303650736809         -473.6260049939156        -0.07907679905050813      0.07286377618973838       0.01993472977668631       
04 Jan 2028 00:19:08.848   52.71041893959045         230.9908658862114         -471.931955486536         -0.0792716207556694       0.07190554500879887       0.02191197597342054       
04 Jan 2028 00:20:39.447   45.51959228515625         237.4559227824211         -469.8469678461552        -0.0794624205075003       0.0708072268767137        0.02411231541549697       
04 Jan 2028 00:22:29.463   36.76649594306946         245.1707954406738         -467.0480772256851        -0.07965555781987277      0.06943698299199919       0.02676615840655838       
04 Jan 2028 00:24:30.919   27.0813045501709          253.5102045536041         -463.6204136610031        -0.07981978288652414      0.0678782158030562        0.02967217248515652       
04 Jan 2028 00:26:52.843   15.74314785003662         263.0109633207321         -459.1701711118221        -0.07994665818222302      0.06599637806532543       0.03303492153723298       
04 Jan 2028 00:28:48.000   6.53334379196167          270.5206575393677         -455.2101980149746        -0.07999816708322172      0.06442223143186654       0.0357363026330777        
04 Jan 2028 00:31:03.716   -4.324485778808594        279.1348847150803         -450.1459869742393        -0.07999973915440961      0.06251343177947088       0.03888749387783363       
