MotherShip.UTCGregorian   MotherShip.MothershipCentralBodyICRF.X   MotherShip.MothershipCentralBodyICRF.Y   MotherShip.MothershipCentralBodyICRF.Z   MotherShip.MothershipCentralBodyICRF.VX   MotherShip.MothershipCentralBodyICRF.VY   MotherShip.MothershipCentralBodyICRF.VZ   
01 Jan 2028 18:57:36.000   107339.8513829708                        -213989.7051331997                       6570.962606310844                        11.18022615298677                         5.527295973474354                         -1.370990644375386                        
01 Jan 2028 19:12:00.000   116885.6214668751                        -208995.2196022868                       5380.061452448368                        10.91268357296289                         6.031997071276221                         -1.385250552818459                        
01 Jan 2028 19:26:24.000   126190.5183651447                        -203570.0425896645                       4178.073096632957                        10.62274577823865                         6.524100434141351                         -1.396651459341869                        
01 Jan 2028 19:40:48.000   135235.4486980438                        -197725.4864730835                       2967.477290332317                        10.31101258463275                         7.002619919095064                         -1.405172135810368                        
01 Jan 2028 19:55:12.000   144001.8553619385                        -191473.7038910985                       1750.769703805447                        9.978125354778285                         7.466596898195398                         -1.410796964233611                        
01 Jan 2028 20:09:36.000   152471.7528965473                        -184827.6632585526                       530.4570721387863                        9.624765763970117                         7.915101896968842                         -1.413515951580975                        
01 Jan 2028 20:24:00.000   160627.761762619                         -177801.1228881478                       -690.9476683437824                       9.251654513876034                         8.347236183204584                         -1.413324736439731                        
01 Jan 2028 20:38:24.000   168453.1414871216                        -170408.6037613153                       -1910.930245637894                       8.859549995628289                         8.762133305542935                         -1.410224587605225                        
01 Jan 2028 20:52:48.000   175931.8226313591                        -162665.3609900475                       -3126.979913234711                       8.449246903690192                         9.15896058129198                          -1.404222394681177                        
01 Jan 2028 21:07:12.000   183048.4375414848                        -154587.3540173769                       -4336.594299286604                       8.021574801778755                         9.536920532877769                         -1.395330650756742                        
01 Jan 2028 21:21:36.000   189788.3498382568                        -146191.2155982852                       -5537.284238159657                       7.577396642022492                         9.895252272294929                         -1.383567427215093                        
01 Jan 2028 21:36:00.000   196137.6826100349                        -137494.2196066976                       -6726.578575849533                       7.11760723843787                          10.23323283287208                         -1.368956340715614                        
01 Jan 2028 21:50:24.000   202083.3452634811                        -128514.2477155328                       -7902.02894449234                        6.64313169572786                          10.55017844759354                         -1.351526512380868                        
01 Jan 2028 22:04:48.000   207613.0590016842                        -119269.7549957633                       -9061.214497476816                       6.15492379433508                          10.84544577314687                         -1.331312519206484                        
01 Jan 2028 22:19:12.000   212715.3808875084                        -109779.7344809771                       -10201.74659964442                       5.653964332630061                         11.11843305876654                         -1.308354337701576                        
01 Jan 2028 22:33:36.000   217379.7264544964                        -100063.680746913                        -11321.27346539497                       5.141259427071027                         11.36858125885193                         -1.282697279755874                        
01 Jan 2028 22:48:00.000   221596.3908319473                        -90141.55255401134                       -12417.48473775387                       4.617838771154226                         11.59537508822147                         -1.254391920720291                        
01 Jan 2028 23:02:24.000   225356.5683522224                        -80033.73460394144                       -13488.11600247025                       4.084753853956201                         11.79834401876039                         -1.223494019677877                        
01 Jan 2028 23:16:48.000   228652.3705921173                        -69760.99845981598                       -14530.95322901011                       3.543076139091518                         11.97706321608939                         -1.190064431874676                        
01 Jan 2028 23:31:12.000   231476.8428375721                        -59344.46268486977                       -15543.8371334374                        2.993895204925007                         12.13115441476814                         -1.154169013272864                        
01 Jan 2028 23:45:36.000   233823.9789113998                        -48805.55225133896                       -16524.66745460033                       2.438316846937976                         12.26028673041439                         -1.115878517184331                        
02 Jan 2028 00:00:00.000   235688.7343554497                        -38165.95727521181                       -17471.40713813901                       1.87746114319701                          12.36417740700458                         -1.075268482937619                        
02 Jan 2028 00:14:24.000   237067.0379207134                        -27447.59113514423                       -18382.08642056584                       1.312460483968351                         12.44259249749392                         -1.032419116530801                        
02 Jan 2028 00:28:48.000   237955.8013420105                        -16672.54803133011                       -19254.80680683255                       0.7444575666245221                        12.49534747577499                         -0.9874151632227379                       
02 Jan 2028 00:43:12.000   238352.9273643494                        -5863.060047805309                       -20087.74493417144                       0.174603357101816                         12.52230777788711                         -0.9403457720163964                       
