MotherShip.UTCGregorian   MotherShip.motherRIC.X    MotherShip.motherRIC.Y    MotherShip.motherRIC.Z    MotherShip.motherRIC.VX   MotherShip.motherRIC.VY   MotherShip.motherRIC.VZ   
02 Jan 2028 06:00:00.000   51052.61002756411         0                         -4.547473508864641e-13    -0.03568974150993352      4.440892098500626e-16     0                         
02 Jan 2028 06:14:24.000   51020.60319007081         2.415845301584341e-12     0                         -0.0383865583812425       0                         0                         
02 Jan 2028 06:28:48.000   50986.30233900533         1.4210854715202e-12       4.547473508864641e-13     -0.0409990685984276       -8.881784197001252e-16    0                         
02 Jan 2028 06:43:12.000   50949.78262565156         1.13686837721616e-13      0                         -0.04352192079479621      -4.440892098500626e-16    0                         
02 Jan 2028 06:57:36.000   50911.12381855008         -2.046363078989089e-12    -4.547473508864641e-13    -0.04594979704139035      4.440892098500626e-16     -5.551115123125783e-17    
02 Jan 2028 07:12:00.000   50870.41023726303         -5.684341886080801e-13    0                         -0.04827748091664949      -4.440892098500626e-16    0                         
02 Jan 2028 07:26:24.000   50827.73065279994         8.526512829121202e-13     4.547473508864641e-13     -0.05049990276692877      4.440892098500626e-16     0                         
02 Jan 2028 07:40:48.000   50783.17813219783         -4.547473508864641e-13    0                         -0.0526121722701868       -4.440892098500626e-16    0                         
02 Jan 2028 07:55:12.000   50736.84989673133         1.762145984685048e-12     9.094947017729282e-13     -0.05460959930421445      4.440892098500626e-16     5.551115123125783e-17     
02 Jan 2028 08:09:36.000   50688.84711406838         1.70530256582424e-13      -4.547473508864641e-13    -0.0564877097598314       0                         0                         
02 Jan 2028 08:24:00.000   50639.274727116           1.70530256582424e-13      9.094947017729282e-13     -0.05824225635036547      0                         0                         
02 Jan 2028 08:38:24.000   50588.24124319072         0                         0                         -0.05986922867702246      -4.440892098500626e-16    0                         
02 Jan 2028 08:52:48.000   50535.85853306111         -1.70530256582424e-13     0                         -0.06136486120282855      -4.440892098500626e-16    2.775557561562891e-17     
02 Jan 2028 09:07:12.000   50482.24160707857         3.979039320256561e-13     -9.094947017729282e-13    -0.06272564235146877      -4.440892098500626e-16    2.775557561562891e-17     
02 Jan 2028 09:21:36.000   50427.50840329772         -1.477928890381008e-12    9.094947017729282e-13     -0.06394832269943163      0                         0                         
02 Jan 2028 09:36:00.000   50371.77954321935         -2.501110429875553e-12    0                         -0.06502992459522199      0                         2.775557561562891e-17     
02 Jan 2028 09:50:24.000   50315.17810816833         1.250555214937776e-12     0                         -0.06596775098798002      8.881784197001252e-16     2.775557561562891e-17     
02 Jan 2028 10:04:48.000   50257.82937708365         5.115907697472721e-13     9.094947017729282e-13     -0.06675939524027756      4.440892098500626e-16     0                         
02 Jan 2028 10:19:12.000   50199.86058794533         3.552713678800501e-12     9.094947017729282e-13     -0.0674027499685972       -4.440892098500626e-16    1.387778780781446e-17     
02 Jan 2028 10:33:36.000   50141.40065517349         9.947598300641403e-13     9.094947017729282e-13     -0.06789601611447083      0                         0                         
02 Jan 2028 10:48:00.000   50082.5799285493          0                         0                         -0.06823771090752868      0                         1.387778780781446e-17     
02 Jan 2028 11:02:24.000   50023.52988428693         1.364242052659392e-12     0                         -0.06842667535707093      0                         1.387778780781446e-17     
02 Jan 2028 11:16:48.000   49964.38286643924         -4.618527782440651e-12    0                         -0.06846208054223496      -4.440892098500626e-16    -2.081668171172169e-17    
02 Jan 2028 11:31:12.000   49905.27178377417         7.958078640513122e-13     0                         -0.06834343305998314      0                         2.081668171172169e-17     
02 Jan 2028 11:45:36.000   49846.32983304209         2.941646926046815e-12     9.094947017729282e-13     -0.0680705794132402       0                         6.938893903907228e-18     
02 Jan 2028 12:00:00.000   49787.69018694351         -3.133493464702042e-12    0                         -0.06764370906505542      4.440892098500626e-16     -8.673617379884035e-18    
02 Jan 2028 12:14:24.000   49729.48571412147         4.236611061969597e-12     -9.094947017729282e-13    -0.06706335688526077      4.440892098500626e-16     3.642919299551295e-17     
02 Jan 2028 12:28:48.000   49671.84866317541         1.193711796076968e-12     -9.094947017729282e-13    -0.06633040402877982      0                         -1.387778780781446e-17    
02 Jan 2028 12:43:12.000   49614.91037881965         -6.657785434072139e-12    1.818989403545856e-12     -0.06544607847149959      4.440892098500626e-16     2.081668171172169e-17     
02 Jan 2028 12:57:36.000   49558.8009893836          -9.43600753089413e-12     0                         -0.06441195388920912      0                         -2.081668171172169e-17    
02 Jan 2028 13:12:00.000   49503.64912011875         -3.979039320256561e-13    0                         -0.06322994841334446      0                         2.081668171172169e-17     
02 Jan 2028 13:26:24.000   49449.581585098           -1.620037437533028e-12    0                         -0.06190232163494809      -4.440892098500626e-16    1.387778780781446e-17     
02 Jan 2028 13:40:48.000   49396.72310165263         1.250555214937776e-12     9.094947017729282e-13     -0.06043167173192381      -4.440892098500626e-16    1.387778780781446e-17     
02 Jan 2028 13:55:12.000   49345.19600681278         -4.348521542851813e-12    -9.094947017729282e-13    -0.05882093074836194      0                         1.387778780781446e-17     
02 Jan 2028 14:09:36.000   49295.11994938362         6.224354365258478e-12     -9.094947017729282e-13    -0.05707335940888839      -4.440892098500626e-16    2.775557561562891e-17     
02 Jan 2028 14:24:00.000   49246.61162439112         3.154809746774845e-12     0                         -0.05519254100818285      0                         -2.775557561562891e-17    
02 Jan 2028 14:38:24.000   49199.7844979348          -5.968558980384842e-13    9.094947017729282e-13     -0.0531823744783725       4.440892098500626e-16     -2.775557561562891e-17    
02 Jan 2028 14:52:48.000   49154.74852968135         1.080024958355352e-12     9.094947017729282e-13     -0.05104706562724089      4.440892098500626e-16     -2.775557561562891e-17    
02 Jan 2028 15:07:12.000   49111.60991935411         -1.13686837721616e-13     0                         -0.04879111861715812      -4.440892098500626e-16    2.775557561562891e-17     
02 Jan 2028 15:21:36.000   49070.47084751412         -3.979039320256561e-13    9.094947017729282e-13     -0.04641932487667337      4.440892098500626e-16     -2.775557561562891e-17    
02 Jan 2028 15:36:00.000   49031.42923714421         7.389644451905042e-13     9.094947017729282e-13     -0.04393675259823469      0                         0                         
02 Jan 2028 15:50:24.000   48994.57851460245         -1.13686837721616e-12     0                         -0.04134873341767797      4.440892098500626e-16     2.775557561562891e-17     
02 Jan 2028 16:04:48.000   48960.00739306019         -7.389644451905042e-13    0                         -0.03866085006303153      0                         2.775557561562891e-17     
02 Jan 2028 16:19:12.000   48927.79965747108         4.547473508864641e-13     0                         -0.03587892099106952      4.440892098500626e-16     -2.775557561562891e-17    
02 Jan 2028 16:33:36.000   48898.03396965213         5.684341886080801e-14     0                         -0.03300898638958191      4.440892098500626e-16     0                         
02 Jan 2028 16:48:00.000   48870.78367844022         1.70530256582424e-13      4.547473508864641e-13     -0.0300572913070898       0                         -2.775557561562891e-17    
02 Jan 2028 17:02:24.000   48846.11666641598         0                         0                         -0.02703026997151448      0                         -2.775557561562891e-17    
02 Jan 2028 17:16:48.000   48824.09516901833         7.389644451905042e-13     4.547473508864641e-13     -0.02393452881880345      4.440892098500626e-16     0                         
02 Jan 2028 17:31:12.000   48804.77565025837         -5.684341886080801e-13    0                         -0.02077682864095118      -4.440892098500626e-16    0                         
02 Jan 2028 17:45:36.000   48788.20867237919         -1.250555214937776e-12    4.547473508864641e-13     -0.01756406741567291      4.440892098500626e-16     0                         
